ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/tokenization_utils_base.py:2898(_call_one)
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/tokenization_utils_base.py:3010(encode_plus)
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/models/roberta/tokenization_roberta_fast.py:226(_encode_plus)
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/tokenization_utils_fast.py:561(_encode_plus)
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/models/roberta/tokenization_roberta_fast.py:217(_batch_encode_plus)
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/tokenization_utils_fast.py:476(_batch_encode_plus)
12,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/activations.py:77(forward)
12,0.000,0.000,0.000,0.000,{built-in method torch._C._nn.gelu}
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/models/roberta/modeling_roberta.py:1435(forward)
48,0.000,0.000,0.000,0.000,{method 'permute' of 'torch._C.TensorBase' objects}
230,0.000,0.000,0.000,0.000,{built-in method torch._C._get_tracing_state}
12,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/torch/nn/functional.py:1855(softmax)
48,0.000,0.000,0.000,0.000,{method 'view' of 'torch._C.TensorBase' objects}
1,0.000,0.000,0.000,0.000,{method 'encode_batch' of 'tokenizers.Tokenizer' objects}
13,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/inspect.py:1812(_signature_bound_method)
5/2,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/pipelines/base.py:1048(_ensure_tensor_on_device)
26,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/inspect.py:2772(__init__)
12,0.000,0.000,0.000,0.000,{method 'softmax' of 'torch._C.TensorBase' objects}
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/models/roberta/modeling_roberta.py:1546(create_position_ids_from_input_ids)
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/modeling_utils.py:1031(get_extended_attention_mask)
4,0.000,0.000,0.000,0.000,{method 'to' of 'torch._C.TensorBase' objects}
